Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
MOCKTAILS,,LIME MINT COOLER,,,,veg,,TRUE
MOCKTAILS,,STRAWBERRY BASIL CRUSH,,,,veg,,TRUE
MOCKTAILS,,KOKUM SHERBET,,,,veg,,TRUE
MOCKTAILS,,LITCHI LEMONADE,,,,veg,,TRUE
MOCKTAILS,,LEMON ICED TEA,,,,veg,,TRUE
MOCKTAILS,,PEACH ICE TEA,,,,veg,,TRUE
SOUPS,VEG,HOT & SOUR,,,,veg,,TRUE
SOUPS,VEG,VEG CLEAR SOUP,,,,veg,,TRUE
SOUPS,VEG,SPINACH & CORN,,,,veg,,TRUE
SOUPS,VEG,LEMON CORIANDER,,,,veg,,TRUE
SOUPS,VEG,BROCOLLI & PESTO,,,,veg,,TRUE
SOUPS,VEG,MANCHOW,,,,veg,,TRUE
SOUPS,NON VEG,CHICKEN MANCHOW,,,,non-veg,,TRUE
SOUPS,NON VEG,TOM YUM CHICKEN,,,,non-veg,,TRUE
SOUPS,NON VEG,CLEAR CHICKEN,,,,non-veg,,TRUE
SOUPS,NON VEG,CHICKEN PESTO,,,,non-veg,,TRUE
SALADS,VEG,STRAWBERRY FARM FRESH,,,,veg,,TRUE
SALADS,VEG,WATERMELON & FETA,,,,veg,,TRUE
SALADS,VEG,THAI RAW PAPAYA,,,,veg,,TRUE
SALADS,NON VEG,GRILLED PRAWN,,,,non-veg,seafood,TRUE
SALADS,NON VEG,CHICKEN HAWAIIAN,,,,non-veg,,TRUE
SALADS,NON VEG,GRILLED CHICKEN SALAD,,,,non-veg,,TRUE
APPETIZERS,VEGETARIAN,GRILLED FIGS & GOAT CHEESE,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,BELL PEPPER CHILLI CHEESE TOAST,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,FALAFEL WITH HUMMUS,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,SWEET CHILLI WEDGES,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,CRISPY BROCCOLI TACOS,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,PANEER TIKKA,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,STUFFED MUSHROOMS,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,MALAI BROCCOLI,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,OLIVE AND HUMMUS,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,BRUSCHETTA,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,SAMBOUSIK JIBNEH,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,CRISPY LOTUS STEM,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,TOMATO BRUSCHETTA,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,ALOO CHUTNEY WALA,,,,veg,,TRUE
APPETIZERS,VEGETARIAN,HARA BARA KEBAB,,,,veg,,TRUE
APPETIZERS,CHICKEN,PANKO PARMESAN CHICKEN STRIPS,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,GARLIC PARMESAN CHICKEN,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,CHICKEN TIKKA,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,MURGH MALAI KEBAB,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,CHILLI SESAME KEBAB,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,CHILLI CHEESE CHICKEN TIKKA,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,KUNG PAO CHICKEN,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,BLACK PEPPER CHICKEN,,,,non-veg,,TRUE
APPETIZERS,CHICKEN,DRAGON CHICKEN,,,,non-veg,,TRUE
APPETIZERS,BEEF,KOREAN BEEF STIR FRY,"Special dish, extra charges",,,non-veg,,TRUE
APPETIZERS,BEEF,ROASTED BEEF STIR FRY,"Special dish, extra charges",,,non-veg,,TRUE
APPETIZERS,SEA FOOD,FISH FINGERS,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,RECHADO FISH WITH SOL KHADI,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,FISH TIKKA,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,KANTHARI FISH TIKKA,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,PAN FRIED CHILLI FISH,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,HERB GARLIC PRAWNS,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,TANDOORI JHINGA,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,ACHARI PRAWNS,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,BLACK PEPPER PRAWN CURRY BUTTER,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,GARLIC PRAWNS,,,,non-veg,seafood,TRUE
APPETIZERS,SEA FOOD,THAI BASIL PRAWNS,,,,non-veg,seafood,TRUE
MAINS - VEGETARIAN,PASTAS,PENNE ARRABIATA,,,,veg,,TRUE
MAINS - VEGETARIAN,PASTAS,MAC AND CHEESE,,,,veg,,TRUE
MAINS - VEGETARIAN,PASTAS,PESTO AL BASILICO,,,,veg,,TRUE
MAINS - VEGETARIAN,PASTAS,PASTA AGLIO E OLIO,,,,veg,,TRUE
MAINS - VEGETARIAN,PASTAS,FUNGI ALLA PANNA,,,,veg,,TRUE
MAINS - VEGETARIAN,PASTAS,VERDURE ALLA PANNA,,,,veg,,TRUE
MAINS - VEGETARIAN,PASTAS,PASTA SALSA ROSA,,,,veg,,TRUE
MAINS - VEGETARIAN,PIZZAS,PIZZA MARGHERITA,,,,veg,,TRUE
MAINS - VEGETARIAN,PIZZAS,PIZZA VERDURE,,,,veg,,TRUE
MAINS - VEGETARIAN,PIZZAS,PIZZA A LA FUNGI,,,,veg,,TRUE
MAINS - VEGETARIAN,CONTINENTAL,SEASONAL VEG BAKE,,,,veg,,TRUE
MAINS - VEGETARIAN,CONTINENTAL,SPINACH AND CORN BAKE,,,,veg,,TRUE
MAINS - VEGETARIAN,CONTINENTAL,VEGETABLE LASAGNA,,,,veg,,TRUE
MAINS - VEGETARIAN,ASIAN,THAI GREEN CURRY,,,,veg,,TRUE
MAINS - VEGETARIAN,ASIAN,THAI RED CURRY,,,,veg,,TRUE
MAINS - VEGETARIAN,ASIAN,CHILLI PANNER GRAVY,,,,veg,,TRUE
MAINS - VEGETARIAN,ASIAN,CHILLLI GOBI GRAVY,,,,veg,,TRUE
