Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
COCKTAILS,,Whiskey Sour,"Whiskey, lemon juice, egg white, simple syrup",Domestic,580,,,TRUE
COCKTAILS,,Whiskey Sour,"Whiskey, lemon juice, egg white, simple syrup",Imported,780,,,TRUE
COCKTAILS,,Cosmopolitan,"Vodka, lemon juice, triple sec, cranberry juice",Domestic,580,,,TRUE
COCKTAILS,,Cosmopolitan,"Vodka, lemon juice, triple sec, cranberry juice",Imported,780,,,TRUE
COCKTAILS,,Mojito,"White rum, soda, lime, mint, sugar syrup",Domestic,580,,,TRUE
COCKTAILS,,Mojito,"White rum, soda, lime, mint, sugar syrup",Imported,780,,,TRUE
COCKTAILS,,Classic Daiquiri,"White rum, lime juice, simple syrup",Domestic,580,,,TRUE
COCKTAILS,,Classic Daiquiri,"White rum, lime juice, simple syrup",Imported,780,,,TRUE
COCKTAILS,,Pina Colada,"White rum, pineapple juice, coconut cream, simple syrup",Domestic,580,,,TRUE
COCKTAILS,,Pina Colada,"White rum, pineapple juice, coconut cream, simple syrup",Imported,780,,,TRUE
COCKTAILS,,Bloody Mary,"Vodka, tomato juice, tabasco, worcestershire sauce, lime juice, crushed black pepper mint",Domestic,580,,,TRUE
COCKTAILS,,Bloody Mary,"Vodka, tomato juice, tabasco, worcestershire sauce, lime juice, crushed black pepper mint",Imported,780,,,TRUE
COCKTAILS,,Strawberry Mojito,"White rum, soda, lime, mint, strawberry, simple syrup",Domestic,580,,,TRUE
COCKTAILS,,Strawberry Mojito,"White rum, soda, lime, mint, strawberry, simple syrup",Imported,780,,,TRUE
COCKTAILS,,Margarita,"Tequila, triple sec, lime juice",Imported,780,,,TRUE
COCKTAILS,,Old Fashioned,"Bourbon whiskey, bitters, sugar cubes",Imported,780,,,TRUE
COCKTAILS,,Tequila Sunrise,"Tequila, orange juice, grenadine syrup",Imported,780,,,TRUE
COCKTAILS,,Smokey Jack,"Bourbon whiskey, maple syrup, orange skin twist",Imported,780,,,TRUE
COCKTAILS,,WOW,"Vodka, watermelon chunks, elder flower syrup, lime juice",Imported,780,,,TRUE
COCKTAILS,,Jewel Set,"Vodka, white rum, gin, lime juice, guava juice, grenadine syrup, lime",Imported,780,,,TRUE
COCKTAILS,,Moscow Mule,"Vodka, lime juice, ginger beer, ginger syrup",Domestic,600,,,TRUE
