Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
SOUPS,,Soup of the Day Veg,,,300,veg,,TRUE
SOUPS,,Soup of the Day Non-Veg,,,350,non-veg,,TRUE
SOUPS,,Clear Soup,"Tofu, glass noodles, bok choy chinese cabbage",Veg,300,veg,,TRUE
SOUPS,,Clear Soup,"Tofu, glass noodles, bok choy chinese cabbage",Chicken,350,non-veg,,TRUE
SOUPS,,Clear Soup,"Tofu, glass noodles, bok choy chinese cabbage",Prawns,360,non-veg,seafood,TRUE
SOUPS,,Tom Kha Soup,"Coconut milk-based soup with lemongrass, galangal, mushroom",Veg,300,veg,,TRUE
SOUPS,,Tom Kha Soup,"Coconut milk-based soup with lemongrass, galangal, mushroom",Chicken,350,non-veg,,TRUE
SOUPS,,Tom Kha Soup,"Coconut milk-based soup with lemongrass, galangal, mushroom",Prawns,360,non-veg,seafood,TRUE
SOUPS,,Tom Yum Soup Prawn,"Traditional thai broth soup with lemongrass, kaffir lime leaves and mushroom",,420,non-veg,seafood,TRUE
SALADS,,Greek Salad,"Lettuce, cucumber, tomatoes, onions, olives, peppers and feta with a vinaigrette dressing",,460,veg,,TRUE
SALADS,,Burrata Salad,"Fresh tomatoes, creamy burrata cheese, basil walnut pesto balsamic dressing drizzle",,580,veg,,TRUE
SALADS,,Watermelon and Feta Salad,"Watermelon, onions, feta, lettuce, peppers and nuts with honey balsamic dressing",,460,veg,,TRUE
SALADS,,Honey Citrus Salad,"Lettuce, orange, fig, onions, peppers, raisins and walnuts with orange balsamic dressing",,480,veg,,TRUE
SALADS,,Roasted Pears Salad,"Roasted pears, bell peppers, onion, figs, parmesan and pomegranate dressing",,500,veg,,TRUE
SALADS,,Thai Som Tam Salad,"Thai style papaya salad with cherry tomato, long beans, peanut and som-tam dressing",,420,veg,,TRUE
SALADS,,Grilled Chicken and Eggplant Salad,"Lettuce, grilled chicken, roasted eggplant, baby potatoes with curry mayo and honey balsamic dressing",,560,non-veg,,TRUE
SALADS,,Grilled Prawn Salad,"Lettuce, grilled prawns, tri-peppers, and onions with orange balsamic dressing",,580,non-veg,seafood,TRUE
STARTERS,Vegetarian Starters,Falafel with Pita Pocket,Chickpea fritters stuffed in pita bread and hummus dip,,400,veg,new,TRUE
STARTERS,Vegetarian Starters,Honey Chilli Wedges,Potato wedges tossed in a homemade sweet chilli sauce,,380,veg,,TRUE
STARTERS,Vegetarian Starters,Cherry Tomato Burrata Crostini,"Crostini topped with creamy burrata cheese, cherry tomatoes, pesto and balsamic dressing",,460,veg,new,TRUE
STARTERS,Vegetarian Starters,Olive and Hummus Bruschetta,"Warm garlic bread topped with olives, hummus cheese and olive oil",,420,veg,,TRUE
STARTERS,Vegetarian Starters,Mushroom Filo Pastry,Layered filo pastry stuffed with creamy mushroom pate and truffle oil,,460,veg,new,TRUE
STARTERS,Vegetarian Starters,Puliyogare Poppers,"Tamarind infused rice balls, deep fried and served with yoghurt dip",,380,veg,new,TRUE
STARTERS,Vegetarian Starters,Sambousik Jibneh,Thin flour dough stuffed with cottage cheese and mozzarella served with a spicy relish,,450,veg,,TRUE
STARTERS,Vegetarian Starters,Fig and Pears Goats Cheese Bruschetta,"Ricotta and goat cheese spread, grilled figs, pomegranate reduction on toasted baguette",,420,veg,new,TRUE
STARTERS,Vegetarian Starters,Crispy Broccoli Tacos,Soft taco topped with crispy batter fried broccoli and cheesy jalapeno mayo,,380,veg,,TRUE
STARTERS,Vegetarian Starters,Veg Quesadillas,"Mix of roasted vegetables, cheese stuffed in tortillas and grilled",,450,veg,,TRUE
STARTERS,Vegetarian Starters,Truffle Parmesan Makhana,"Makhana roasted black pepper, truffle oil and parmesan cheese",,420,veg,new,TRUE
STARTERS,Vegetarian Starters,Loaded Mexican Nachos,"Nachos topped with pico de gallo, sour cream, hot sauce and queso",Veg,400,veg,,TRUE
STARTERS,Vegetarian Starters,Loaded Mexican Nachos,"Nachos topped with pico de gallo, sour cream, hot sauce and queso",Chicken,460,non-veg,,TRUE
STARTERS,Vegetarian Starters,Achari Paneer Tikka,Soft chunks of paneer marinated in tandoori masala and grilled with vegetables,,440,veg,,TRUE
STARTERS,Vegetarian Starters,Stuffed Mushrooms,"Button mushrooms stuffed with cottage cheese, nuts and roasted to perfection",,380,veg,,TRUE
STARTERS,Vegetarian Starters,Malai Broccoli,Broccoli florets and pineapple marinated in a creamy malai masala cooked in a clay pot,,420,veg,,TRUE
STARTERS,Vegetarian Starters,Masala Papad,"Masala papad topped with fresh tomatoes, onions and spices",,240,veg,,TRUE
STARTERS,Vegetarian Starters,Masala Peanuts,"Masala peanuts topped with fresh tomatoes, onions and spices",,260,veg,,TRUE
STARTERS,Vegetarian Starters,Achari Aloo,"Small potatoes marinated with green chillies, herbs and spices",,420,veg,new,TRUE
STARTERS,Vegetarian Starters,Cheesy Jalapeno Triangles,"Jalapenos, cheddar, and mozzarella pockets – deep fried",,380,veg,new,TRUE
STARTERS,Vegetarian Starters,Hara Bara Kebab,"Spinach, peas, and potato patty fried and served with mint chutney",,380,veg,,TRUE
STARTERS,Vegetarian Starters,Hara Mutter Paneer Tikka,Cubes of paneer stuffed with green peas and cheese and cooked in tandoor,,480,veg,new,TRUE
STARTERS,Vegetarian Starters,Crispy Lotus Stem,Deep fried lotus stem with bell peppers tossed in spicy roasted chilli paste,,420,veg,,TRUE
STARTERS,Vegetarian Starters,Crispy Corn,"Crispy american corn tossed in five spice powder, onion and garlic",,380,veg,,TRUE
STARTERS,Vegetarian Starters,Shitake and Chestnut Stir Fry,Wok tossed shitake mushrooms and water chestnut fry with chilli garlic soy topped with fried garlic,,460,veg,,TRUE
STARTERS,Non-Vegetarian Starters,Panko Parmesan Chicken Strips,"Chicken strips marinated with parmesan, peri-peri, herbs crumb fried and served with spicy mayo",,520,non-veg,,TRUE
STARTERS,Non-Vegetarian Starters,Garlic Parmesan Chicken,"Grilled chicken thigh marinated with garlic, parmesan, and herbs",,550,non-veg,,TRUE
STARTERS,Non-Vegetarian Starters,Prawn Quesadillas,Mexican seasoned prawns grilled with cheddar and mozzarella cheese on tortilla,,540,non-veg,new|seafood,TRUE
STARTERS,Non-Vegetarian Starters,Calamari Tacos,"Flour tortilla, tempura fried calamari, tartare sauce, carrots, cucumber, sesame oil",,520,non-veg,new|seafood,TRUE
