Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
COCKTAILS,,Whiskey Sour,"Whiskey, lemon juice, egg white, simple syrup",DOM,580,,,TRUE
COCKTAILS,,Whiskey Sour,"Whiskey, lemon juice, egg white, simple syrup",IMP,780,,,TRUE
COCKTAILS,,Cosmopolitan,"Vodka, lemon juice, triple sec, cranberry juice",DOM,580,,,TRUE
COCKTAILS,,Cosmopolitan,"Vodka, lemon juice, triple sec, cranberry juice",IMP,780,,,TRUE
COCKTAILS,,Mojito,"White rum, soda, lime, mint, sugar syrup",DOM,580,,,TRUE
COCKTAILS,,Mojito,"White rum, soda, lime, mint, sugar syrup",IMP,780,,,TRUE
COCKTAILS,,Classic Daiquiri,"White rum, lime juice, simple syrup",DOM,580,,,TRUE
COCKTAILS,,Classic Daiquiri,"White rum, lime juice, simple syrup",IMP,780,,,TRUE
COCKTAILS,,Pina Colada,"White rum, pineapple juice, coconut cream, simple syrup",DOM,580,,,TRUE
COCKTAILS,,Pina Colada,"White rum, pineapple juice, coconut cream, simple syrup",IMP,780,,,TRUE
COCKTAILS,,Bloody Mary,"Vodka, tomato juice, tabasco, worcestershire sauce, lime juice, crushed black pepper mint",DOM,580,,,TRUE
COCKTAILS,,Bloody Mary,"Vodka, tomato juice, tabasco, worcestershire sauce, lime juice, crushed black pepper mint",IMP,780,,,TRUE
COCKTAILS,,Strawberry Mojito,"White rum, soda, lime, mint, strawberry, simple syrup",DOM,580,,,TRUE
COCKTAILS,,Strawberry Mojito,"White rum, soda, lime, mint, strawberry, simple syrup",IMP,780,,,TRUE
COCKTAILS,,Margarita,"Tequila, triple sec, lime juice",IMP,780,,,TRUE
COCKTAILS,,Old Fashioned,"Bourbon whiskey, angostura bitters, sugar cubes",IMP,780,,,TRUE
COCKTAILS,,Tequila Sunrise,"Tequila, orange juice, grenadine syrup",IMP,780,,,TRUE
COCKTAILS,,Smokey Jack,"Bourbon whiskey, maple syrup, orange skin twist",IMP,780,,,TRUE
COCKTAILS,,WOW,"Vodka, watermelon chunks, elder flower syrup, lime juice",IMP,780,,,TRUE
COCKTAILS,,Jewel Set,"Vodka, white rum, gin, lime juice, guava juice, grenadine syrup, lime",IMP,780,,,TRUE
COCKTAILS,,Moscow Mule,"Vodka, lime juice, ginger beer, ginger syrup",DOM,600,,,TRUE
COCKTAILS,,Moscow Mule,"Vodka, lime juice, ginger beer, ginger syrup",IMP,780,,,TRUE
COCKTAILS,,Gimlet,"Gin, lime juice, simple syrup",IMP,780,,,TRUE
COCKTAILS,,Hot Toddy,"Brandy/whiskey, honey, lime, cloves, cinnamon",DOM,580,,,TRUE
COCKTAILS,,Hot Toddy,"Brandy/whiskey, honey, lime, cloves, cinnamon",IMP,780,,,TRUE
COCKTAILS,,Long Island Iced Tea,"White rum, tequila, gin, vodka, triple sec, lime juice, coke",IMP,900,,,TRUE
COCKTAILS,,Gin Fizz,"Gin, lime wedges, tonic water, basil leaves",IMP,780,,,TRUE
COCKTAILS,,Penicillin,"Whiskey, lemon juice, honey ginger syrup, lemon peel",DOM,580,,,TRUE
COCKTAILS,,Penicillin,"Whiskey, lemon juice, honey ginger syrup, lemon peel",IMP,780,,,TRUE
COCKTAILS,,Passion Fruit Martini,"Vodka, passion fruit syrup, lime, soda",IMP,850,,,TRUE
COCKTAILS,,Heat Cooler,"Vodka, blood orange, luxardo cherry syrup, lemon juice",IMP,780,,,TRUE
COCKTAILS,,New York Sour,"Bourbon whiskey, lime juice, simple syrup, red wine",IMP,800,,,TRUE
COCKTAILS,,Jack Frost,"Vodka, pineapple juice, blue curacao",IMP,780,,,TRUE
COCKTAILS,,Madras Magic,"Vodka, fresh chilli, cilantro, lime juice, simple syrup",IMP,780,,,TRUE
PITCHERS,,Whiskey Sour Pitcher,"Whiskey, lemon juice, egg white, simple syrup",DOM,1950,,,TRUE
PITCHERS,,Cosmopolitan Pitcher,"Vodka, lemon juice, triple sec, cranberry juice",DOM,1950,,,TRUE
PITCHERS,,Mojito Pitcher,"White rum, soda, lime, mint, sugar syrup",DOM,1950,,,TRUE
PITCHERS,,Long Island Iced Tea Pitcher,"White rum, tequila, gin, vodka, triple sec, lime juice, coke",DOM,2800,,,TRUE
WHISKEY,Single Malt Whiskey,The Glenlivet 12 Yrs,,Peg,780,,,TRUE
WHISKEY,Single Malt Whiskey,The Glenlivet 12 Yrs,,Bottle,16500,,,TRUE
WHISKEY,Single Malt Whiskey,Glenfiddich 12 Yrs,,Peg,780,,,TRUE
WHISKEY,Single Malt Whiskey,Glenfiddich 12 Yrs,,Bottle,16500,,,TRUE
WHISKEY,Single Malt Whiskey,Glenfiddich 15 Yrs,,Peg,880,,,TRUE
WHISKEY,Single Malt Whiskey,Glenfiddich 15 Yrs,,Bottle,18000,,,TRUE
WHISKEY,Single Malt Whiskey,Talisker 10 Yrs,,Peg,780,,,TRUE
WHISKEY,Single Malt Whiskey,Talisker 10 Yrs,,Bottle,16500,,,TRUE
WHISKEY,Single Malt Whiskey,Laphroaig 10 Yrs,,Peg,780,,,TRUE
WHISKEY,Single Malt Whiskey,Laphroaig 10 Yrs,,Bottle,16500,,,TRUE
WHISKEY,Single Malt Whiskey,Bowmore 12 Yrs,,Peg,650,,,TRUE
WHISKEY,Single Malt Whiskey,Bowmore 12 Yrs,,Bottle,14500,,,TRUE
WHISKEY,Single Malt Whiskey,Singleton,,Peg,780,,,TRUE
WHISKEY,Single Malt Whiskey,Singleton,,Bottle,16500,,,TRUE
WHISKEY,Single Malt Whiskey,Aberfeldy 12 Yrs,,Peg,650,,,TRUE
WHISKEY,Single Malt Whiskey,Aberfeldy 12 Yrs,,Bottle,14500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Chivas Regal 12 Yrs,,Peg,650,,,TRUE
WHISKEY,Blended Scotch Whiskey,Chivas Regal 12 Yrs,,Bottle,14000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Chivas Regal 15 Yrs,,Peg,750,,,TRUE
WHISKEY,Blended Scotch Whiskey,Chivas Regal 15 Yrs,,Bottle,17750,,,TRUE
WHISKEY,Blended Scotch Whiskey,Chivas Regal 18 Yrs,,Peg,800,,,TRUE
WHISKEY,Blended Scotch Whiskey,Chivas Regal 18 Yrs,,Bottle,18500,,,TRUE
WHISKEY,Blended Scotch Whiskey,JW Black Label,,Peg,600,,,TRUE
WHISKEY,Blended Scotch Whiskey,JW Black Label,,Bottle,11000,,,TRUE
WHISKEY,Blended Scotch Whiskey,JW Double Black,,Peg,700,,,TRUE
WHISKEY,Blended Scotch Whiskey,JW Double Black,,Bottle,16000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Ballantine Finest,,Peg,450,,,TRUE
WHISKEY,Blended Scotch Whiskey,Ballantine Finest,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Ballantine 12 Yrs,,Peg,550,,,TRUE
WHISKEY,Blended Scotch Whiskey,Ballantine 12 Yrs,,Bottle,10000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Monkey Shoulder,,Peg,650,,,TRUE
WHISKEY,Blended Scotch Whiskey,Monkey Shoulder,,Bottle,14500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Dewars 12 Yrs,,Peg,400,,,TRUE
WHISKEY,Blended Scotch Whiskey,Dewars 12 Yrs,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Dewars 15 Yrs,,Peg,400,,,TRUE
WHISKEY,Blended Scotch Whiskey,Dewars 15 Yrs,,Bottle,8000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Dewars White Label,,Peg,400,,,TRUE
WHISKEY,Blended Scotch Whiskey,Dewars White Label,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Teachers Highland Cream,,Peg,550,,,TRUE
WHISKEY,Blended Scotch Whiskey,Teachers Highland Cream,,Bottle 1000ml,9000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Black and White,,Peg,440,,,TRUE
WHISKEY,Blended Scotch Whiskey,Black and White,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch Whiskey,100 Pipers,,Peg,500,,,TRUE
WHISKEY,Blended Scotch Whiskey,100 Pipers,,Bottle 1000ml,6500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Grants,,Peg,350,,,TRUE
WHISKEY,Blended Scotch Whiskey,Grants,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch Whiskey,J&B Rare,,Peg,400,,,TRUE
WHISKEY,Blended Scotch Whiskey,J&B Rare,,Bottle,7000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Jameson,,Peg,550,,,TRUE
WHISKEY,Blended Scotch Whiskey,Jameson,,Bottle,12500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Suntory Toki,,Peg,630,,,TRUE
WHISKEY,Blended Scotch Whiskey,Suntory Toki,,Bottle,14000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Fort Glen,,Peg,350,,,TRUE
WHISKEY,Blended Scotch Whiskey,Fort Glen,,Bottle,7500,,,TRUE
WHISKEY,Blended Scotch Whiskey,VAT 69,,Peg,350,,,TRUE
WHISKEY,Blended Scotch Whiskey,VAT 69,,Bottle,6000,,,TRUE
WHISKEY,Blended Scotch Whiskey,Jameson Black Barrel,,Peg,550,,,TRUE
WHISKEY,Blended Scotch Whiskey,Jameson Black Barrel,,Bottle,12500,,,TRUE
WHISKEY,Blended Scotch Whiskey,Tamerlane,,Peg,350,,,TRUE
WHISKEY,Blended Scotch Whiskey,Tamerlane,,Bottle,6000,,,TRUE
