Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
SOUPS,,Zucchini and Coriander Lemon Soup,"Zucchini, chopped coriander and lemon in a vegetable broth",,300,veg,,TRUE
SOUPS,,Coconut Lemon Grass Symphony,"Coconut milk-based soup with lemon grass, galangal, mushrooms and vegetables",,300,veg,,TRUE
SOUPS,,Thai Clear,Thai clear broth served with boiled vegetables/chicken/prawns,Veg,300,veg,,TRUE
SOUPS,,Thai Clear,Thai clear broth served with boiled vegetables/chicken/prawns,Chicken,350,non-veg,,TRUE
SOUPS,,Thai Clear,Thai clear broth served with boiled vegetables/chicken/prawns,Prawns,380,non-veg,seafood,TRUE
SOUPS,,Crab Chowder,Mixed seafood and potatoes in a creamy seafood broth,,380,non-veg,seafood,TRUE
SOUPS,,Thai Prawn Sonata,"Traditional Thai broth soup with lemon grass, kaffir lime leaves, mushrooms and prawns",,380,non-veg,seafood,TRUE
SOUPS,,Thengaipaal Nandu Saaru,South Indian style crab soup made with coconut milk,,380,non-veg,seafood,TRUE
SALADS,,Mediterranean Splendour,"Lettuce, cucumber, tomatoes, onions, olives and feta cheese with a vinaigrette dressing",,470,veg,,TRUE
SALADS,,Poached Pear Overture,"Wine poached pears, strawberries, dragon fruits, peppers, onion, walnuts and raisins with parmesan cheese and a pomegranate dressing",,470,veg,,TRUE
SALADS,,Som Tam Salad,Shredded papaya served with sweet and chilli dressing,,440,veg,,TRUE
SALADS,,Creamy Burrata Salad,"Fresh tomatoes, creamy burrata cheese, basil, walnut pesto drizzled with a balsamic dressing",,600,veg,,TRUE
SALADS,,Curried Chicken Ensemble,"Lettuce, grilled chicken, baby potatoes with curry mayo and a honey balsamic dressing",,560,non-veg,,TRUE
SALADS,,Seafood Ballet,"Lettuce, grilled prawns, squid, fish, tri-peppers and onions with an orange balsamic dressing",,580,non-veg,seafood,TRUE
CONTINENTAL STARTERS,,Roasted Pears and Fig Crostini,"Roasted pears and figs with goat cheese spread, drizzled with a pomegranate reduction on a toasted baguette",,420,veg,,TRUE
CONTINENTAL STARTERS,,Stuffed Cheese Pockets,"Cottage cheese and mozzarella stuffed in thin flour dough, fried and served with a spicy relish",,450,veg,,TRUE
